generation,52.0
systems,43.0
optimization,41.0
model,33.0
power-systems,32.0
algorithm,30.0
wind power,29.0
unit commitment,29.0
uncertainty,25.0
robust optimization,25.0
design,24.0
energy,22.0
system,22.0
security,20.0
electricity market,18.0
power,17.0
distribution networks,17.0
stability,16.0
management,16.0
stochastic programming,16.0
demand response,16.0
small-signal stability,15.0
energy storage,15.0
optimal power flow,15.0
flow,14.0
transient stability,14.0
power-system,14.0
identification,14.0
electricity markets,14.0
storage,13.0
wind,13.0
optimal power-flow,12.0
voltage stability,12.0
distributed generation,12.0
stochastic optimization,12.0
reliability,11.0
integration,11.0
impact,11.0
load,11.0
demand,11.0
state estimation,10.0
operation,10.0
electric vehicles,10.0
droop control,10.0
power system stability,10.0
frequency control,10.0
models,10.0
network,10.0
simulation,10.0
coordination,9.0
market,9.0
dispatch,9.0
voltage control,9.0
constraints,9.0
networks,9.0
distribution-systems,9.0
economic dispatch,9.0
phasor measurement unit (pmu),9.0
particle swarm optimization,9.0
phasor measurement units,9.0
frequency,8.0
penetration,8.0
oscillations,8.0
inter-area oscillations,8.0
strategies,8.0
enhancement,7.0
constrained unit commitment,7.0
energy-storage,7.0
power system reliability,7.0
power system dynamics,7.0
smart grid,7.0
energy management,7.0
sensitivity-analysis,7.0
wind power uncertainty,7.0
decentralized control,6.0
power system economics,6.0
electricity,6.0
facts devices,6.0
collapse,6.0
microgrids,6.0
phasor measurements,6.0
mixed-integer linear programming,6.0
implementation,6.0
sensitivity analysis,6.0
load frequency control,6.0
optimization methods,6.0
reconfiguration,6.0
transmission,6.0
time,5.0
dynamics,5.0
wind generation,5.0
battery,5.0
decomposition,5.0
dynamic state estimation,5.0
reduction,5.0
wind power-generation,5.0
frequency response,5.0
power flow analysis,5.0
uncertainties,5.0
units,5.0
framework,5.0
power system,5.0
hvdc,5.0
sensitivity,5.0
generators,5.0
microgrid,5.0
voltage,5.0
renewable generation,5.0
service restoration,5.0
benders decomposition,5.0
grids,5.0
plants,5.0
power-flow,5.0
power system control,5.0
differential evolution,4.0
part i,4.0
support,4.0
capacity,4.0
reactive power,4.0
fed induction generator,4.0
markets,4.0
renewable energy,4.0
loss reduction,4.0
impacts,4.0
turbines,4.0
economic-dispatch,4.0
spinning reserve,4.0
stochastic security,4.0
placement,4.0
network reconfiguration,4.0
power system security,4.0
voltage source converter (vsc),4.0
genetic algorithm,4.0
allocation,4.0
voltage collapse,4.0
multi-objective optimization,4.0
control strategy,4.0
islanded microgrids,4.0
power systems,4.0
generator,4.0
power generation dispatch,4.0
converters,4.0
smart grids,4.0
wind power variability,4.0
strategy,4.0
cost,4.0
scuc,4.0
controllers,3.0
formulation,3.0
cascading failures,3.0
distributed algorithms,3.0
distributed cooperative control,3.0
optimal control,3.0
regression,3.0
game,3.0
frequency stability,3.0
frequency deviation,3.0
sparsity,3.0
optimal power flow (opf),3.0
controller,3.0
generation scheduling,3.0
n-1 security,3.0
distributed optimization,3.0
subsynchronous resonance,3.0
damping controller,3.0
services,3.0
devices,3.0
scenario reduction,3.0
risk,3.0
demand-side management,3.0
nsga-ii,3.0
flexibility,3.0
offshore wind farms,3.0
mixed-integer programming,3.0
model-predictive control,3.0
decision trees,3.0
distribution network,3.0
computation,3.0
reserves,3.0
challenges,3.0
congestion management,3.0
dc microgrid,3.0
genetic algorithms,3.0
monte carlo simulation,3.0
direct load control,3.0
selection,3.0
contingency analysis,3.0
neural network,3.0
reliability evaluation,3.0
competition,3.0
reliability assessment,3.0
mixed integer linear programming,3.0
corrective control,3.0
line,3.0
power system dynamic stability,3.0
wind farm,3.0
dominant poles,3.0
parallel computing,3.0
validation,3.0
power system analysis computing,3.0
instability,3.0
algorithms,3.0
wide-area control,3.0
eigenvalues,3.0
dual decomposition,3.0
load flow,3.0
investment,3.0
primary frequency control,3.0
parameters,3.0
load control,3.0
machine,3.0
transmission switching,3.0
performance,3.0
loss minimization,3.0
estimation,3.0
voltage stability margin,3.0
probability,3.0
energy storage system (ess),3.0
linear programming,3.0
adequacy assessment,3.0
inertia,3.0
losses,3.0
probabilistic forecasts,3.0
power system monitoring,3.0
power system operations,3.0
wind farms,3.0
automatic generation control,3.0
transient stability analysis,3.0
topology control,3.0
lasso,3.0
bidding strategies,3.0
bifurcation,3.0
power generation economics,3.0
expert-system,3.0
margin,3.0
tool,3.0
tracking,3.0
distribution system,3.0
ancillary service,3.0
blackout,3.0
time-series,3.0
power distribution,3.0
power transmission,3.0
load management,3.0
expansion,3.0
transient,3.0
transformation,3.0
kalman filter,3.0
distribution systems,3.0
prediction,3.0
power-system stability,3.0
electromechanical modes,3.0
transfer capability,3.0
day-ahead market,2.0
power system transients,2.0
power system planning,2.0
noise,2.0
power system transient stability,2.0
power systems modeling,2.0
energy systems,2.0
data mining,2.0
eigenvalue,2.0
dc power flow,2.0
non-convexities,2.0
power system restoration,2.0
semidefinite programming,2.0
power system stabilizer (pss),2.0
distribution network reconfiguration,2.0
power system dynamic simulation,2.0
power system oscillations,2.0
plug-in electric vehicle,2.0
power distribution-systems,2.0
power dispatch,2.0
electromechanical oscillations,2.0
n-1 contingency,2.0
power capacitors,2.0
frequency regulation,2.0
criteria,2.0
singular value decomposition,2.0
pmu placement,2.0
nash equilibrium,2.0
pmu,2.0
energy markets,2.0
electric-power systems,2.0
natural-gas,2.0
power system optimization,2.0
electric water heaters,2.0
side management,2.0
short-term voltage stability,2.0
electric vehicles (evs),2.0
short-term load forecasting,2.0
efficient identification,2.0
network expansion,2.0
formulations,2.0
energy storage system,2.0
forecasting,2.0
power system modeling,2.0
damping,2.0
damping control,2.0
eigen-analysis,2.0
environment,2.0
efficient computation,2.0
operational flexibility,2.0
operations research,2.0
pade approximants,2.0
renewable energy integration,2.0
pss,2.0
parameter estimation,2.0
renewable integration,2.0
fault diagnosis,2.0
dg,2.0
proportional-integral (pi) control,2.0
prony analysis,2.0
openmp,2.0
fault location,2.0
requirements,2.0
reserve,2.0
quantile regression,2.0
output regulation,2.0
relaxation methods,2.0
farms,2.0
reinforcement learning,2.0
failures,2.0
distributed algorithm,2.0
distribution-system,2.0
distribution system reliability,2.0
lagrangian-relaxation,2.0
distributed energy resources,2.0
refrigeration,2.0
extreme learning-machine,2.0
distributed generation (dg),2.0
reactive power control,2.0
real-time market,2.0
distribution feeders,2.0
reserve market,2.0
residential distribution-systems,2.0
efficiency,2.0
phasor measurement unit,2.0
number,2.0
dynamic programming,2.0
pricing,2.0
optimal scheduling,2.0
price-maker,2.0
nonlinear programming,2.0
prediction intervals,2.0
dfig,2.0
search,2.0
decision tree,2.0
power-generation,2.0
second-order cone programming,2.0
secondary control,2.0
photovoltaic generation,2.0
primary frequency response,2.0
robustness,2.0
demand response (dr),2.0
filter,2.0
epsilon-constraint method,2.0
robust design,2.0
robust,2.0
risk management,2.0
demand side management,2.0
equilibrium,2.0
probabilistic power flow,2.0
restructured electricity markets,2.0
restoration,2.0
dynamic economic dispatch,2.0
resources,2.0
deviation,2.0
programs,2.0
reactive power-control,2.0
future,2.0
modal-analysis,2.0
variability,2.0
approximate dynamic programming,2.0
mixed-integer linear programming (milp),2.0
variable selection,2.0
load-flow,2.0
synchronized phasor measurements,2.0
area,2.0
coherency identification,2.0
load-frequency control,2.0
modeling,2.0
