optimization,48.0
generation,46.0
systems,41.0
unit commitment,30.0
uncertainty,27.0
wind power,24.0
model,23.0
algorithm,22.0
power,19.0
power-systems,17.0
distribution networks,17.0
security,17.0
energy storage,16.0
system,16.0
smart grid,16.0
optimal power-flow,16.0
demand response,15.0
operation,15.0
optimal power flow,15.0
robust optimization,15.0
energy,14.0
stability,14.0
power system reliability,12.0
management,12.0
integration,12.0
distributed generation,12.0
flow,12.0
design,12.0
networks,11.0
electricity markets,11.0
electric vehicles,11.0
power system economics,11.0
reliability,11.0
markets,11.0
transmission,10.0
coordination,10.0
wind,10.0
microgrids,9.0
market,9.0
electricity market,9.0
models,9.0
impact,9.0
power-system,9.0
power generation dispatch,9.0
wind energy,8.0
load,8.0
stochastic optimization,8.0
stochastic programming,8.0
transient stability,8.0
power system planning,8.0
benders decomposition,8.0
economic dispatch,8.0
network,8.0
identification,8.0
energy-storage,7.0
electricity,7.0
frequency control,7.0
genetic algorithm,7.0
power systems,7.0
power distribution,7.0
smart grids,7.0
penetration,7.0
algorithms,7.0
voltage control,7.0
renewable energy,7.0
microgrid,6.0
power system control,6.0
frequency,6.0
loss reduction,6.0
pool,6.0
dispatch,6.0
strategies,6.0
decomposition,6.0
economic-dispatch,6.0
distribution-systems,6.0
particle swarm optimization,6.0
distribution system,5.0
state estimation,5.0
parallel computing,5.0
sensitivity,5.0
demand,5.0
phasor measurement unit (pmu),5.0
performance,5.0
lagrangian relaxation,5.0
prices,5.0
wind power-generation,5.0
power system stability,5.0
generators,5.0
storage,5.0
simulation,5.0
stochastic security,5.0
power-flow,5.0
voltage regulation,5.0
multi-objective optimization,5.0
model predictive control,5.0
spinning reserve,5.0
constrained unit commitment,5.0
load modeling,5.0
energy management,5.0
stability analysis,5.0
contingency analysis,5.0
turbines,5.0
demand side management,5.0
power system modeling,5.0
droop control,4.0
cascading failure,4.0
power system simulation,4.0
wind power generation,4.0
optimization methods,4.0
distribution-system,4.0
control ancillary services,4.0
energy storage system,4.0
features,4.0
formulation,4.0
kalman filter,4.0
symmetrical components,4.0
distributed algorithms,4.0
monte carlo simulation,4.0
risk,4.0
risk management,4.0
consensus,4.0
transmission expansion planning,4.0
oscillations,4.0
dynamics,4.0
dynamic state estimation,4.0
losses,4.0
load dispatch,4.0
ancillary services,4.0
small-signal stability,4.0
inverters,4.0
investment,4.0
power system security,4.0
graph theory,4.0
price,4.0
convex relaxation,4.0
enhancement,4.0
placement,4.0
expansion,4.0
inter-area oscillations,3.0
distribution feeder reconfiguration,3.0
microgrid (mg),3.0
subsynchronous resonance,3.0
hvdc,3.0
load management,3.0
scenario reduction,3.0
phasor measurement units,3.0
distribution feeders,3.0
vsc-hvdc,3.0
electromechanical oscillations,3.0
modeling,3.0
voltage collapse,3.0
wind farms,3.0
power system,3.0
synchrophasor,3.0
linear programming,3.0
distributed generators,3.0
reserve requirements,3.0
constraints,3.0
mixed-integer linear programming,3.0
support,3.0
synchrophasors,3.0
renewable energy sources,3.0
aggregator,3.0
restoration,3.0
future,3.0
operations,3.0
multi-agent system,3.0
demand-side management,3.0
co-optimization,3.0
hydro,3.0
clustering,3.0
plants,3.0
voltage stability,3.0
isolated power system,3.0
impacts,3.0
reactive power control,3.0
dc power flow,3.0
market power,3.0
outages,3.0
power market,3.0
capacitors,3.0
implementation,3.0
farms,3.0
machine learning,3.0
dynamic modeling,3.0
converters,3.0
security-constrained optimal power flow,3.0
observability,3.0
real-time,3.0
